Text,label
শিক্ষার্থীদের আন্দোলনকে ভিন্নখাতে নিতে নৈরাজ্য করছে ছাত্রলীগ,1
"মাননীয় প্রধান মন্ত্রী,,কোন আইন আপনার সুশাসনে পরিনত করেছেন? শুধু করেছেন নিজের ক্ষমতা ধরে রাখার জন্য,,,এই দেশ কারো বাপ দাদার ভিটে বাড়ি নয়,,,এটা গনতান্ত্রিক দেশ,,,কাজেই কারো ক্ষমতা চির জীবনের জন্য নয়,,পরিবর্তন হতেই হবে,,,তার একমাত্র সংবিধান হচ্ছে,,জনগ নের ভোটাধিকার নিশ্চিত করা,,,সুষ্ঠ নির্বাচনের পরিবেশ তৈরী করা।",1
নৈরাজ্য সৃষ্টি করে দূর্নীতিবাজ তারেক রহমানকে রক্ষা করা যাবে না,1
বাংলাদেশ নামটা পরিবতন করে আওয়ামি লীগ দেশ করা দরকার,1
সময় টিভি আওয়ামী লীগের দালাল,1
"যে দেশের প্রধানমন্ত্রী ভোট চোর সেই দেশে আবার ভোট লজ্জাজনক ব্যপার, আওয়ামী লীগ পাস",1
বিএনপি আন্দোলন করতে পারবে খালি ১ ঘন্টা পুলিশ বন্ধ কর,2
"বি এন পির পুরাতন নেতাদের বিছি নাই, পুরাতনদের কে বাদ দিয়া নতুন করে সাজাতে হবে,",1
সবাইকে এই সরকারের বিরুদ্ধে প্রতিরোধ গড়ে তুলতে হবে।,2
হাসিনা কে বাদ দেব আমরা জনগন যতক্ষন পদীপ কুমার দাশের ফাঁসি হাসিনা মনএী দবনা আমরা জনগন সবাই মিলে,2
"জামাত,বিএনপি,নুরুর,দল,এবং,সপ,দল,মিলে,হরতাল,ডাক,দিন,অনিদিসট,কালের",2
নির্বাচন কমিশনার এর ফাঁসি চাই,2
ছিছিছি ধিক্কার ধিক্কার ধিক্কার জানাই অবৈধ সরকার কে ছিছিছি হাসিনা ছি হাসিনা ছি,2
"এমন বেহাইয়া সরকার আওয়ামিলীগ,",1
পুলিশলীগ,1
বিএনপি ক্ষমতায় আসলে দেশটা ধংস করে দেবে।,2
বিএনপি মানেই বাংলাদেশ পিছিয়ে যাওয়া,1
সালা আওয়ামী লীগের দালাল চুর সালারা আবার কথা কই ছিছি,2
আওয়ামি লানত অভিশাপগ্রস্ত দল,2
দেশের মানুষ বিএনপি কে চায়,1
আমি খুনি হাছিনাকে বলতেছাই দেশে এখন এক নং দুরনীতিবাজ হইছে শেখ হাছিনা,2
দুরনীতির নাযক হইছে এক জন সেইটা হইছে শেষ হাছিনা যদি হাছিনাকে চুলের মুটি ধরিযা কমতার তেকে নামাইতে পার দেশে আর দুরনীতি থাকবেনা,2
"আগে সরকারের পতন"" পরে ধর্ষকদের কে প্রকাশ্যে ফাসি হউক",2
আওয়ামী লীগের মুখে কুরআনের আয়াতের উদাহরণ। হাইস্যকর। ভুতের মুখে রাম রাম!!!,1
এই দেশটা এখন লুট কর‌ছে আওয়ামীলীগ।স্বধীনতার দোহাই দিয়া বাংলা‌দেশ‌কে ধংস্স ক‌রে দি‌ছে আওয়ামীলীগ,1
2020 সালে ধর্ষণে নোবেল পুরস্কার পাবে বাংলাদেশের আওয়ামী লীগ সরকার,1
2020 সালে ধর্ষণে গিনেস বুকে নাম লেখাবে বাংলাদেশ আওয়ামী লীগ সরকার,1
কুত্তালীগ কে সবাই চিনে ফেলেছে,2
আওয়ামী লীগ সরকার কখনো বাংলার ভালো চায়না আওয়ামী লীগের ধষন করা মিথ্যা চার তাদের পমান,1
আওমি লিগ খমতায় থাকলে কখনো বাংলার মাটিতে শানতি ফিরে আশবেনা,1
আওয়ামীলীগ নিপাত যাক। গণতন্ত্র মুক্তি পাক।,2
আওয়ামীলীগের সন্ত্রাসীরা বাংলাদেশকে ধংশ করে দিল।,2
ঘুষ ছাড়া দেশে সরকারি সেবা পাওয়া যায় না,1
বাংলাদেশের সমস্ত বিভাগ এবং মন্ত্রনালয় ভারতের পুরো নিয়ন্ত্রণ রয়েছে,1
যারা আওয়ামীলীগ করে তাদের দেশপ্রেম আর বিবেকের ঘরে তালা দেয়া,1
কুক্তা লীগ যে জাতির কলংক  তা আবারও প্রমানিত।,2
ধন্যবাদ স্যার আপনি আমাদের রাজনীতিবিদদের বেশ্যা উপাধি দেওয়ার জন্য,1
"সার,বাংলাদেশ এর শিক্ষাকে রাজনীতি মুক্ত না করা গেলেও, রাজনীতিকে শিক্ষা মুক্ত করা গেছে",1
নির্বাচন কমিশন নুরুল হুদার গলার নিচে দেখা যায় অনেক চর্বি জমা হয়ে গেছে সেগুলো কমানোর জন্য ডাক্তার নিয়ে আসতেছি খুব শিগগিরই,2
এই নিব্রাচন কমিশ নুরুল হুদাকে পায়ে রশি লাগিয়ে যে কোন গাড়ির সাথে বেধে চেচরিয়ে মারা দরকার,2
জনগণের টাকা দিয়ে সরকার লোকেরা চলে চোরের বাচ্ছারা আবার বড় বড় কথা বলে,2
