Text,label
হালার পো হালা রহিঙ্গার বাচ্চা তুই আর বাংলাদেশে আসিস না,2.0
এই শুয়ারের বাইচ্চা তুরে কি কুত্তায় চুদে জন্ম দিছে? নাকি শুয়ারের চুদায় হয়চস।,1.0
শুয়োরের বাচ্চার বুড়ো বয়সে ভীমরতি হয়েছে,1.0
শালীরে গালি দিলাম ম্যাসেজে। সেই মজা পাইলাম,1.0
হালাগোরে যে কি কমু মাঝে মাঝে বুঝতে পারি না,1.0
এরা মানুষ না এরা জানোয়ার,1.0
তোর মালু চুদি রে এক লাথি মেরে ভারতে পাঠাবো,2.0
শুয়োরের বাচ্চা তুই মানুষ না জানোয়ারের বাচ্চা,1.0
"শুরয়োরেরচুদা ডান্ডি,,তোর মা'খানকিরে তোর জারজ বাপ মালাউন মোদী চুদে তোরে জন্ম দিছিলো",1.0
বেশ্যারপোলা নাপাক জাত ডান্ডি,1.0
তোর মা'খানকির ভোদায় দম থাকলে বল তুই বাংলাদেশের কোন কোণায় আছিস তারপর তোর মাঘীরে সহ জ্বালিয়ে মারবো,2.0
ষাড়েরচুদা গাভীরপোলা,1.0
বান্দিরপোলা ইস্কনের চুদা,1.0
কিরে ভোদামারানীরপোলা শালা হিজড়া,1.0
"তোর চৌদ্দগোষ্ঠীর মায়েরে চুদি,,,তোর ডান্ডির মায়েরে চুদি",2.0
শেখ সেলিমএর পুটকীর ভিতর গরম ডিম দিলে সব ঠিক হয়ে যাবে,2.0
এই চুদানীদের আব্বা/আম্মা নাই????,1.0
ফুটানো পানি ওর মলদ্বার দিয়ে ঢুকাতে হবে।,2.0
শুয়ারের বাচ্চা তোদের এতো সুযোগ দিয়েও তোর মাকে ঠাপানো হয় না,2.0
এই ধ্বজভঙ্গের চেতনা এখন খাড়ায় না,1.0
তোরে ধর্ষন করা দরকার মাদার চোদ হাসিনা কুত্তার বাচ্চা কুত্তা লীগ দের জন্ম বেশশা পাড়ায় মাদার চোদরা,2.0
ঐ খানকির মাইয়া বেশশা,1.0
চটি বইয়ের লেখক মাদার চোদ ভট্টাচার্য1,1.0
এই খানকির সাথে আরো শয়তানরা হাতের তালি দিছেচ,1.0
বাল করবো তারা চোরি ছাডা বাল ডা বুঝে না,1.0
কাউয়ার বাচ্চা কাউয়া বাচ্চা কাউয়া,1.0
হাসিকে চুদেনা মানুষে হাসিনার উপরে গজব পরুগ দোয়া করি,2.0
গুদে কৃমি হয়েছে বাঁড়ালোকজনের সামনে চুলকাতে পারছে না তাই লাফালাফি করছে বাঁড়াবাঁড়া ওকে কেউ একটু চুল্কে দে,1.0
মাদারচোদ তরে যদি পাইতাম কি কোরতা জানিস না,2.0
মাদার চুদ জারজ সন্তান,1.0
তোকে তোর মার ভুদার ভিতর দিয়ে ১০ বার ঢুকাবো আর ১০ বার বাহির করবো । খানকি-মাগী জাউরা মাগির পোলা,2.0
আপনাদের মত শুয়োরছানারা প্রমান বোঝেন?,1.0
ভাষা থেকেই বোঝা যায় তুই মাদারচোদ শুয়োরের বাচ্চা।,1.0
জানোয়ারের বাচ্চা! ধংস হ তুই.,2.0
ফকিন্নি বস্তি জানোয়ারের বাচ্চা! বেজ্জন্মমার ঘরে হইসোস,1.0
"সভ্য সমাজে কি করস তুই ফকিন্নি?যা রাস্তায় গিয়া মাগি গিরি কর......বেজন্মা,জন্মের নাই ঠিক,,অশিক্ষিত রাস্তার বস্তি পচার থেইকা উইঠা আইসোস",1.0
ক্যামেরা  করতে  শিখ  বোকাচোদা  তারপর  চুলকাতে  যাবি,1.0
ফাকিং রেইপ  ক্যাপিটাল . আমাদের  দেশ  প্রতিদিন  ধর্ষিত  হচ্ছে . এর  কোনো  শেষ  নেই .. ফাকিং  ল  এন্ড  অর্ডার ..,1.0
রানু মন্ডলের গালে গালে জুতা মারো তালে তালে।,2.0
রানু  মন্ডল  রান্ডি  শালী খালি ওকে নিয়ে খবর,1.0
মাদারীর বাইচ্ছা অপেক্ষা কর আগের জায়গায় আসার,2.0
"ওদের মৃত্যু দন্ড দেওয়া ভুল হয়েছে,, খানকির বাচ্ছা দের, সারা জীবন কস্ট দেওয়া উচিৎ ছিল ????	",2.0
এই  মাগিকে  পেলে  জুতো  দিয়ে  মুখ  ফাটাবো . দেখলে  মাথা  গরম  হয় .... ভিখারি  মাগি,2.0
অহংকার পতনের মূল. শালী ঢেমনী মাগী.বেইমান,1.0
এইগুলারে  DU এর  মতো  ভার্সিটি  থেকে  লাত্থি  দিয়ে  বের  করে  দেয়া  উচিত...,2.0
রানু  মন্ডল  জাস্ট  অসহ্য,1.0
চুপ  বোকাচোদা  ফালতু  কথা  বন্ধ  কর.,1.0
এর  সম্পর্কে  কোনো  কমেন্টস  করতেও  রুচিতে  বাদে .,
ফাঁসি  চাই  কুত্তার  বাচ্চাদের সবার সামনে ফাঁসি দিয়ে মারা উচিত,2.0
আমার মনে হয় তুমিও ওই সব কাজে লিপ্ত আছো শালী মাগি,1.0
তোদের মতো ছেলে মেয়ে দের মরাই ভালো 😠 ছিঃ ছিঃ ছিঃ 😤বাইরের কাউকে পেলি না তোরা ।,2.0
এইসব  মাদারচোদ   যারা  পশুদের  থেকেও  খারাপ  তারা  এখনো  বেঁচে  আছে ...কি  দেশে  বাস  করি,1.0
তুই কি বাল ছিড়তে গিয়েছিলি।,1.0
