Text,label
"ইসলামের সচেতন সৈনিক,কুত্তার বাচ্চা, তোদের শিক্ষা নিয়া তোরা তোদের পছন্দের দেশ ফাকিস্তানে যা। সেখানে গিয়া মত প্রকাশ কর, কেউ বাধা দিবে না। বাংলাদেশে থাকলে চোদনের উপ্রেই থাকতে হবে।",1
ধর্ম মানে অশান্তি,1
"হিন্দু প্রকারভেদ।  রাধাকৃষ্ণ  কৃষ্ণ_কৃষ্ণ বুঝলেন না তো??? কোন কোন হিন্দুরা দাবী করে রাধা শ্রীকৃষ্ণের গার্ল ফ্রেন্ড ছিল। যে কিনা সম্পর্কে মামী হইতো। আবার, কেও কেও দাবী করে রাধা নামে কেও ছিলই না। এটা মধ্যযুগীয় ধর্মের নামে অপপ্রচার। ভাই, আপনাদের আসল কিচ্চা কাহিনী আসলে কি? একটু জানিতে চাই।",1
"সালা তুই একটা হিন্দুর বাচ্চা , নামের পরে খান লাইগাচোচ বইলা জাতী কি বুজবেনা ভাবচোচ...?  যা তোদের মন্দিরের ঠাকুররাও কত মাগীগ করে তাও আবার মন্দিরের ভেতর দেখে আয়",2
হিন্দুদের দেশ বাংলাদেশ। জয় শ্রী রাম,1
"হিন্দুদের মারবি বলছিস, হিন্দুরা তোদের কি বাল ছিঁড়ে নিয়েছে",1
বেশি ধর্ম বুঝে গেছিস না। জানোয়ার,1
বাংলাদেশ থেকে হিন্দুদের বের করে দেয়া হবে খুবই তারাতাড়ি,2
"কিরে নাপাক জাত,,গালি কারে দিস",1
তোরা ডান্ডির মায়েরে চুদি চুদমারানীরপোলা নাপাক ডান্ডির জাত,2
"মাঘীরচুদা ধনপুজারীর জাত,,ভোদাপুজারীর জাত,,লেংটামুর্তি পুজারীর জাত",2
উগ্রবাদী ডান্ডি,1
তোরা ডান্ডি মাঘীরচুদারা মুসলিম দেশ বাংলাদেশে বড় বাড়া বাড়ছোস,2
তোরা ডান্ডি নাপাক জাতদের পুটকি মেরে তোদের দাদারবাড়ি দিল্লিতে দূর করব,2
মসজিদে গিয়ে আগুন লাগাও,2
হিন্দুদের ঘৃণা করো,2
হিন্দু ধর্মের কোনো ধর্ম নাই এটি পালটু টাইম পাস,1
দরকার হলে জিহাদ করব। তবু হিন্দুদের চারব না।,2
হিন্দু ধর্ম পুরাটাই ভন্দামি।,1
"হিন্দু বাচ্চা ডোম , মুচির ধর্ম",1
হিন্দু কোনো ধর্ম নেই,1
"হিন্দুদের আর কয়েকটি নাম হলো মালায়ন,নেংটি,কাডুয়া",1
হিন্দু ধর্ম পাগল,1
হিদু মানি ভেজাল,1
তোমাদের মত আলগা মোল্লা টাইপের শয়তানের জন্য সমাজ নষ্ট হয়,2
বাংলাদেশ মুসলমানদের মানুষিকতা কতটা নিচু,1
হিন্দু ধম নেংটা ধম,1
বালের হিন্দু,1
"জিকির না গান না উচ্চাঙ্গসংগীত বুঝতে পারলামনা, হয়তো বা শয়তান বুঝবে",1
তেমনি ধর্মান্ধ মুসলিমের কাছে উটমুত্র পবিত্র।,1
এরা নাম দ্বারি টাইটেল প্রাপ্ত জানোয়ার,1
মুর্তি পুজা কবর পুজা রাতের ভোটসব মিলিয়ে দেশ আজ জাহান্নাম,1
আর ৭১ জামায়াতে ইসলামের আলবদর আলশামস শান্তিকমিটি হানাদার বাহিনীর কারনে ২ লাখ ধর্ষনের কারনে জামায়াত ইসলাম এখনও দৌড়ের উপর।,1
মসজিদ যতদিন বন্ধ থাকবে ততই বাড়তে থাকবে করোনা ভাইরাস আক্রান্ত,1
"হিন্দুয়া,,,,, তোর স্থান হলো রেন্ডিয়া",1
জঙ্গিরা ইসলামের অপ ব্যাখ্যা করে আজ সারা দুনিয়ায় ইসলামকে বিরর্কিত করেছে,1
জাকির নায়েক হীন্দুদের গোয়েন্দা সংস্থা'র'এর এজেন্ট হ‌ওয়ার কারনে ভারতের মত দেশে এতদিন সে প্রকাশ্যে ইসলাম প্রচার করতে পেরেছিল,1
সয়তানি ধর্ম হিন্দু সম্প্রদায়ের,1
"মন্দিরের ভন্ডামি ভিতরে কাউকে ছবি তুলতে দেয় না হালারা, নিজেরাই লাল রঙ ডাইলা মায়ের মাসিক বানায়",1
হিন্দু ধর্মের গ্রন্থে অনেক অবজ্ঞানিগ কথা আছে জা দারা প্রমাণিত হয়েছে জে হিন্দু ধর্ম মানব রচিত ধর্ম,1
কোন খানকির ছেলে বলতে পারবেনা মুসলিমদের পুর্বপুরুস হিন্দু ছিল,2
"জঙ্গীবাদী,, মানুষ খুনের ধর্ম ইসলাম",2
দেবতা লুইচ্চা কৃষ্ণ,1
জংগী হলো হিন্দুরা,1
বড় জংগী ছিলো নবী এই জন্য তোর ধর্ম জংগীর ধর্ম ।শয়তানের ধর্ম,1
"তোর হিন্দু ধর্মে গরুর মুত ও গোবর খাওয়ার নির্দেশ আছে, তাই লুচ্চা কৃষ্ণ আর রাধা খানকি খেত।",1
সীতা খানকি কে লেংটা করে বেজন্মা রামচন্দ্রের সামনে চুদেছিলো সে,2
তোরা হিন্দুরা ছাগলের মুত খাস? নুনুকাটা হিজড়া শিব আর পার্বতী খানকি ছাগলের মুত খেত?,1
"হিন্দু ধর্মের অারেক নাম ""চটি"" ধর্ম।যার ইতিহাসের পরতে পরতে অবাধ যৌনতা ও অশ্লীলতা মিলে মিশে একাকার",2
হিন্দু ধর্ম হচ্ছে একটা সারালের ধর্ম ওয়াক থু থু থু,2
তুই নিজে নংরা তোর ধর্ম নংরামী তে ভরা তোদের নবী মহম্মদ মেয়েদের গুদে ফু দিয়ে বেড়াত  তোদের নবী নিজের ছেলের বৌ কে চুদেছিল,2
জঙ্গি বাদি ইসলাম,1
নোংরা হিন্দুরা ধর্মের নামে এসব নোংরামিই ভালোবাসে এবং মজা পায়,2
ধর্মের নামে এসব নোংরা কাহিনি  মন্দিরের ভন্ড গুরুদের আবিস্কার।।,1
শীবলিঙ্গ আর যোনি পূজা এই অশ্লীল কাজ ইতো আপনাদের ধর্ম,2
সুবিধাবাদী আর লুচ্ছা হিন্দুরা নাস্তিক হিন্দুরা গুরুরা এতেই মজা পায় আর সমাজে এর বিস্তার ঘটাচ্ছে,2
"এই হিন্দুরা বেইমানের জাতরা আরব দেশ গুলোতে ভিক্ষা করে খায়, আর মুসলমানদের তাড়ানোর জন্য দেশে দাঙ্গা বাধায়",2
মূর্তি পূজকরা হল বিশ্বের সবচেয়ে ভয়ংকর অহংকারী আর হিংস্র জাতি যাদের বন্দু হল অভীশপ্ত ইহুদিরা।,1
তুদের ইসলাম ধর্মে এই অনুমতি আছে।তোদেরকে অমানুষ বানাবার জন্য।,1
ধর্ষণ করা আপনাদের হিন্দু ধর্মে বৈধ,2
আপনাদের হুজুর রা খালি মানুষ খুন করতে বলে কেনো?,2
দুনিয়ার সব কুসংস্কার ও নষ্টামী। ছিঃ! ছিঃ! তোদের হিন্দু ধর্মে,1
