,Text,label
0,ইসলামের সচেতন সৈনিককুত্তার বাচ্চা তোদের শিক্ষা নিয়া তোরা তোদের পছন্দের দেশ ফাকিস্তানে যা সেখানে গিয়া মত প্রকাশ কর কেউ বাধা দিবে না বাংলাদেশে থাকলে চোদনের উপ্রেই থাকতে হবে,1.0
1,ধর্ম মানে অশান্তি,1.0
2,হিন্দু প্রকারভেদ  রাধাকৃষ্ণ  কৃষ্ণ_কৃষ্ণ বুঝলেন না তো কোন কোন হিন্দুরা দাবী করে রাধা শ্রীকৃষ্ণের গার্ল ফ্রেন্ড ছিল যে কিনা সম্পর্কে মামী হইতো আবার কেও কেও দাবী করে রাধা নামে কেও ছিলই না এটা মধ্যযুগীয় ধর্মের নামে অপপ্রচার ভাই আপনাদের আসল কিচ্চা কাহিনী আসলে কি একটু জানিতে চাই,1.0
3,সালা তুই একটা হিন্দুর বাচ্চা  নামের পরে খান লাইগাচোচ বইলা জাতী কি বুজবেনা ভাবচোচ  যা তোদের মন্দিরের ঠাকুররাও কত মাগীগ করে তাও আবার মন্দিরের ভেতর দেখে আয়,2.0
4,হিন্দুদের দেশ বাংলাদেশ জয় শ্রী রাম,1.0
5,হিন্দুদের মারবি বলছিস হিন্দুরা তোদের কি বাল ছিঁড়ে নিয়েছে,1.0
6,বেশি ধর্ম বুঝে গেছিস না জানোয়ার,1.0
7,বাংলাদেশ থেকে হিন্দুদের বের করে দেয়া হবে খুবই তারাতাড়ি,2.0
8,কিরে নাপাক জাতগালি কারে দিস,1.0
9,তোরা ডান্ডির মায়েরে চুদি চুদমারানীরপোলা নাপাক ডান্ডির জাত,2.0
10,মাঘীরচুদা ধনপুজারীর জাতভোদাপুজারীর জাতলেংটামুর্তি পুজারীর জাত,2.0
11,উগ্রবাদী ডান্ডি,1.0
12,তোরা ডান্ডি মাঘীরচুদারা মুসলিম দেশ বাংলাদেশে বড় বাড়া বাড়ছোস,2.0
13,তোরা ডান্ডি নাপাক জাতদের পুটকি মেরে তোদের দাদারবাড়ি দিল্লিতে দূর করব,2.0
14,মসজিদে গিয়ে আগুন লাগাও,2.0
15,হিন্দুদের ঘৃণা করো,2.0
16,হিন্দু ধর্মের কোনো ধর্ম নাই এটি পালটু টাইম পাস,1.0
17,দরকার হলে জিহাদ করব তবু হিন্দুদের চারব না,2.0
18,হিন্দু ধর্ম পুরাটাই ভন্দামি,1.0
19,হিন্দু বাচ্চা ডোম  মুচির ধর্ম,1.0
20,হিন্দু কোনো ধর্ম নেই,1.0
21,হিন্দুদের আর কয়েকটি নাম হলো মালায়ননেংটিকাডুয়া,1.0
22,হিন্দু ধর্ম পাগল,1.0
23,হিদু মানি ভেজাল,1.0
24,তোমাদের মত আলগা মোল্লা টাইপের শয়তানের জন্য সমাজ নষ্ট হয়,2.0
25,বাংলাদেশ মুসলমানদের মানুষিকতা কতটা নিচু,1.0
26,হিন্দু ধম নেংটা ধম,1.0
27,বালের হিন্দু,1.0
28,জিকির না গান না উচ্চাঙ্গসংগীত বুঝতে পারলামনা হয়তো বা শয়তান বুঝবে,1.0
29,তেমনি ধর্মান্ধ মুসলিমের কাছে উটমুত্র পবিত্র,1.0
30,এরা নাম দ্বারি টাইটেল প্রাপ্ত জানোয়ার,1.0
31,মুর্তি পুজা কবর পুজা রাতের ভোটসব মিলিয়ে দেশ আজ জাহান্নাম,1.0
32,আর ৭১ জামায়াতে ইসলামের আলবদর আলশামস শান্তিকমিটি হানাদার বাহিনীর কারনে ২ লাখ ধর্ষনের কারনে জামায়াত ইসলাম এখনও দৌড়ের উপর,1.0
33,মসজিদ যতদিন বন্ধ থাকবে ততই বাড়তে থাকবে করোনা ভাইরাস আক্রান্ত,1.0
34,হিন্দুয়া তোর স্থান হলো রেন্ডিয়া,1.0
35,জঙ্গিরা ইসলামের অপ ব্যাখ্যা করে আজ সারা দুনিয়ায় ইসলামকে বিরর্কিত করেছে,1.0
