Text,Labels
"আরে খানকি মাগী তোরা তো নিজের মা, খালা, মাসি, পিসি, বোন, বৌদি কাউকে বাদ রাখিস না চুদতে, আর তোদের মহিলারাও চরম মাগীবাজ। তোদের পূর্বপুরুষ আর মহিলারা ব্রিটিশদের সেবা করত, আর সে জন্য তোরা হয়েছিস। তোদের মহিলারা তো বাড়া পেলে আর ছাড়ে না। পুরো চুষে ছাড়ে",2
"ওরে বাইনচুদ এর বাচ্চা,, কনডম এর ফাটা বাচ্চা",2
ওমম দুর্গার গুদে গেঙ্কিদেস।।। ওমম চুদে চুদে মহাভারত।।। ওমম কালি মাগির গুদে পাঠা লিঙ্গ গন্ধং।।। ওমম চোদে কৃশ্ন টুং টাং পটাশ।।। ওমম স্বরসতীর হাতে চটি বই আশ্রয়কেন্দ্র।।। ওমম সীতাকে পাট ক্ষেতে নাগিন🐍ড‍্যান্স।।। ওমম শিব লিঙ্গে মালু নারী কামাসুত্র।।। ওমম কৃশ্নের ধোনে বিষ ফোড়া চুলকুনি।।। ওমম ব্রম্মার অন্ডে রাডার গোলযোগ।।। ওমম লক্ষীর চ‍্যাপ্টা নুনুতে নির্মল তারারারা।।। ওমম রামের পাছাই কুত্তার নুনু প্রণাম।।। ওমম শান্তি ওমম শান্তি ওমমমমম🙏,2
টানিয়া পাজামার ফিতা। ধন মাের চুষে দেনা সীতা। রাম কয় মাদারচোদ। আমার বউয়ের কে মারিস গুদ। আমি কই ভাই আমি লক্ষণ। তােমার বউয়ের দুধ করিতেছি ভক্ষণ । সীতা কয় যদিও মাের স্বামী রাম। কিন্তু রাবণের চুদায় বেশি আরাম। রাম কয় সীতা মাগী রাবণের চুদা খেয়ে স্বামীরে গেলি ভূলে। আমি আর লক্ষণ তরে চুদতাম কোলে তুলে। সীতা কয় রাম তুই আস্ত খানকীর পােলা। রাবণ রাজের চুদা কি যায় সহজে ভোলা। রাম কয় সীতা মাগী আর করিনসা পাপ। স্বামী ভক্তি ভূলে গিয়ে রাবণের খাচ্ছিস ঠাপ।,2
"আরে বাইনচুদ এর বাচ্চা রে,,  তোর মতো পুলা আমার লুংগি চাপ দিলে তিন চারটার বাবা হব,,আর তুই আমাদের আমাদের নবীকে গালি দেছ,,",1
সোনাতনি ধর্মে ভাই ভাগার ছিলো পাচ পান্ডব মিলেমিশে দ্রৌপদির সাথে চালিয়েছিল তান্ডব। ব্রম্মা নাকি সৃষ্টি করিয়াছেন দিয়া নিজের অন্ড কিচ্ছা কাহিনি থেকে বোঝা যায় গান্ডু হিন্দুর ধর্ম ভন্ড।,1
"যখন কোন স্ত্রী সন্তান উতপাদন করতে সমর্থ থাকে এবং বিধবা হয়, তখন সে নিয়ােগ দ্বারা আবদ্ধ স্বামী হতে সন্তান উতপাদন করতে পারবে। এ দ্বারা বােঝা যায় বৈদিক ধর্মে নারী সন্তান উতপাদনের মেশিন ছাড়া আর কিছুই নয়।।",1
হিন্দু ধর্ম মতে পুরুষেরা হচ্ছে বেশ‍্যা।,1
পৃথিবীতে প্রথম শিশু ধর্ষণ করে কে? উত্তর:শ্রি চোদে কৃশ্ন। বেশ‍্যা হিন্দু ধর্ম,1
পৃথিবীতে কোন জাতি মানুষদের জয় শ্রী চোদারাম বলে গালি দিয়ে হত্যা করে? উত্তর: হিন্দু সনাতন। বেশ‍্যা হিন্দু ধর্ম,1
পৃথিবীতে সর্বপ্রথম কোন দেবতা শিবের পুরুষাঙ্গ কেটে দিয়েছিল? উত্তর:লুচ্চা কৃশ্ন। বেশ‍্যা হিন্দু ধর্ম,1
পৃথিবীতে সর্বপ্রথম ব্রহ্মা কোন দেবীকে ধর্ষণ করেছিলাে? উত্তর:দূর্গা। বেশ‍্যা হিন্দু ধর্ম,1
পৃথিবীতে একাধারে ১০০ বছর Sx করেছিল কে কে? উঃ ব্রম্মা এবং সরস্বতী (বাবা মেয়ে একটানা ১০০ বছর। বেশ‍্যা হিন্দু ধর্ম,1
পৃথিবীতে সর্বপ্রথম কোন দেবতা পুতনা রাক্ষসীর স্তন কামড়ে ছিড়ে হত্যা করে? উত্তর: চরিত্র ছিরা লুইচ্চা ধর্ষক কৃশ্ন বেশ‍্যা হিন্দু ধর্ম,1
পৃথিবীতে প্রথম Anal Sex করতে রাজী হয়েছিলাে কোন নারী? উঃ পার্বতী। বেশ‍্যা হিন্দু ধর্ম,1
পৃথিবীতে প্রথম একসাথে ৫ জনের সাথে Sex (Group Sex) করেছিলাে কোন নারী? উঃ দ্রৌপদী। বেশ‍্যা হিন্দু ধর্ম,1
সপ্তর্ষীর ৭ স্ত্রীকে দেখে কামার্ত হয়ে পড়েছিল কে? উঃ অগ্নি বেশ‍্যা হিন্দু ধর্ম,1
জলন্ধরের স্ত্রী বিন্দা ও শঙ্কচুরের স্ত্রী তুলসীকে প্রতারিত করে Sex করেছিল কে? উঃ বিষ্ণু বেশ‍্যা হিন্দু ধর্ম,1
"পৃথিবীতে সর্বপ্রথম নিজ মামির সাথে Sex করেছে কে? উঃ শ্রীকৃষ্ণ। সূত্র-(ব্রহ্মবৈবর্তপু রাণ, প্রকৃতিখন্ডম, একাদশােহধ্যায়ঃ, পৃষ্ঠা নং- ৬২২-৬৩) বেশ‍্যা হিন্দু ধর্ম",1
পৃথিবীতে সর্বপ্রথম নিজের গুরুর স্ত্রীর সাথে Sex করে কে? উঃ দেবরাজ ইন্দ্র। বেশ‍্যা হিন্দু ধর্ম,1
"পৃথিবীতে সর্বপ্রথম নিজ মায়ের সাথে Sex করে কে? উঃ গণেশ। সূত্র-(ভগবত পুরান, নবম স্কন্ধ,পৃ;৫৯৮) বেশ‍্যা হিন্দু ধর্ম",1
পৃথিবীতে দ্বিতীয়বার নিজ মেয়ের সাথে Sex করেছে কে? উঃ প্রজাপতি দক্ষ। বেশ‍্যা হিন্দু ধর্ম,1
"পৃথিবীতে সর্বপ্রথম নিজ মেয়ের সাথে Sex করেছে কে? উঃ ব্রম্মা। সূত্র-(স্কন্ধ পুরাণ, নাগর খন্ডম পৃঃ১-১৬) বেশ‍্যা হিন্দু ধর্ম",1
