Text,label
পুরুষ পাগলা কুত্তা?,1
"নারী হলো শয়তানের জাল,শয়তান সব সময় ভালোর বিপরীতে থাকে,সুতরাং মৌলানা আহমদ শফির  কথার বিপরীতে থাকবে তারা।এজন্য আল্লাহর নবী রাসূল( স)  বলেছেন,সব চায়তে বেশী জাহান্নমী হলো নারী জাতী।",1
"শেখ হাসিনা একটা পতিতা, একটা বেশ্যা, একটা মাগি, একটা পুরুষ বাজ।",2
"আমি ময়মনসিংহ থাকি, এই মেয়ে টি কে আমি গাঙ্গিনাপাড় ব্যেসা পাড়ায় দেখেছিলাম,,",1
"ঠিকেই ,ঐ মেয়ে কত খারাপ নিজেই,প্রমান করেচে",1
এরা বেইশ্যা,1
তুই তো হিজড়া,2
ওনারা ধর্ষিতা নয়! ওনারা পতিতা ও অবৈধ সরকারের কিনা গোলাম।,2
বেস্যা গুলিআগেই ধর্শিতাহয়ে গেছে,2
তারা যৌনপল্লিতে আশ্রয় নিছে,1
তারা পতিতালয়ে ব্যস্ত আছে। যা বলার বলে যান,1
এই পতিতাদের কেও বিচারের কাট গড়ায় দাঁড়া করানো হোক,2
ধর্ষন হলে এদের মজা লাগে কারণ এরাও ধর্ষিতা তাই।,2
আমাদের দেশে একটি পুরুষ প্রেসিডেন্ট দরকার,2
প্রকাশ্য চাঁদাবাজির জন্য অনেক পুরুষ ও এখন হিজরার রূপ নিচ্ছে,2
সকল দোষের অধিকারী একমাত্র নারী জাতি,1
নারী জাতি অতি লোভী,1
খানকির  মেয়ে  এমন  মেয়েকে পুড়িয়ে মারা  দরকার,2
এই  জন্যই  বলি  মেয়েরা জাত খানকি  অন্যের  সঙ্গে  দলাদলি  কাজ  ছাড়াও  ওরা করতে  পছন্দ  করে,2
মাগি বিশ্বাস কে জুতা মারার সময় এসে,2
ওর মতো মাগিই এখন আমাদের দেশে বেশি,2
বাজে মেয়ে একদম নেংটো নেংটো হয়ে ঘুরে বেড়ালে তো এমন হবেই,2
ছেলেটার  মরে  ভাল  হইসে  . এরকম  ছেলে ছেলে  জাতির  কলঙ্ক  . যে  বউয়ের   হাতে   মার্   খাই  টার  তো  মরা  উচিত,2
মেয়ে রা বেশী খারাপ	ওদের মাথায় সব কুবুদ্ধি,1
তুই আসলে একটা মাগি তোর মতো মেয়ে বেঁচে থেকে লাভ নাই,2
এরা আসলে মাগি এদের মতো মাগি পথে ঘাঠে অনেকে ঘুরে বেড়ায়,1
মাগীর কতো ঢং টাকার লোভে,2
ছেলেটাকে মেয়ে হয়ে জন্মালে ভালো হতো,2
এই  খানকিকে  আবার  ওর  নিজের  জায়গায়  পাঠানো  হোক .......,1
গাড়ির ভিতরে রেপ কর এদের মতো মেয়েদের রেপ করা উচিত,2
ওরে  শালী  তুই  ভিখারি   ছিলিনা  তো  কি  ছিলিরে  নায়িকা  তুই  তো  আরো  পঁচা তোকে  সামনে  পেলে  জুতার  বাড়ি  মারবো,2
